N,P,K,pH,temp,humidity,rainfall,crop
11,5,10,6,19,45,353,turnips
9,9,11,6,15,43,354,turnips
13,6,13,7,19,47,330,turnips
13,15,12,6,14,58,376,turnips
12,12,9,6,18,56,370,turnips
5,5,13,7,16,60,316,turnips
5,5,15,6,13,47,356,turnips
6,7,14,6,16,47,374,turnips
11,5,8,7,16,57,305,turnips
7,15,9,6,18,47,345,turnips
47,41,69,7,18,54,458,carrots
36,53,60,6,18,55,538,carrots
38,47,69,7,15,60,556,carrots
50,46,53,7,15,44,475,carrots
33,36,69,7,20,53,574,carrots
43,52,68,6,16,56,408,carrots
32,38,64,7,15,45,506,carrots
45,36,54,6,20,51,411,carrots
31,40,65,6,16,56,407,carrots
42,50,50,6,15,41,517,carrots
39,43,64,6,15,49,425,carrots
38,53,50,7,17,57,567,carrots
38,44,52,7,21,53,447,carrots
39,51,70,6,17,41,586,carrots
45,46,58,6,18,58,422,carrots
49,46,64,7,22,60,401,carrots
44,41,66,6,18,60,557,carrots
34,51,65,6,17,44,427,carrots
30,53,63,6,21,49,491,carrots
35,43,64,7,17,45,504,carrots
33,43,55,6,18,46,476,carrots
47,44,63,7,19,51,495,carrots
32,50,70,6,17,59,599,carrots
39,36,60,6,22,50,410,carrots
41,55,55,7,15,47,527,carrots
13,11,13,6,18,55,800,peas
7,14,15,7,18,68,723,peas
12,9,6,7,17,66,638,peas
6,5,7,7,17,65,800,peas
5,9,5,7,16,52,730,peas
15,11,12,7,16,58,734,peas
8,15,7,6,15,56,645,peas
9,9,7,6,15,68,727,peas
15,7,12,7,17,65,657,peas
7,6,11,6,17,69,691,peas
13,10,5,7,15,50,689,peas
14,10,11,7,15,68,620,peas
12,12,12,7,19,66,716,peas
10,5,9,6,17,58,690,peas
7,11,6,7,20,54,671,peas
15,14,14,6,17,59,706,peas
12,7,6,6,15,56,744,peas
7,15,10,7,20,69,620,peas
12,6,10,7,15,54,738,peas
12,15,9,7,19,58,675,peas
7,13,9,6,19,52,664,peas
6,9,8,7,19,63,756,peas
10,13,10,6,16,56,744,peas
12,8,6,7,18,69,739,peas
5,13,7,6,19,61,745,peas
110,53,67,7,18,63,800,onions
111,68,55,7,15,80,794,onions
123,60,68,7,23,77,522,onions
114,64,59,6,17,66,788,onions
122,50,59,6,17,74,704,onions
124,56,59,7,24,79,722,onions
124,51,60,7,15,65,685,onions
123,70,55,6,24,62,557,onions
129,59,71,7,20,80,733,onions
120,69,69,6,24,79,504,onions
115,62,56,7,16,74,598,onions
110,61,62,6,20,66,554,onions
119,54,71,7,25,73,524,onions
125,70,61,6,22,73,610,onions
118,55,71,7,16,78,504,onions
122,58,65,7,24,60,509,onions
112,53,67,7,17,74,576,onions
122,68,75,7,18,64,548,onions
113,58,55,6,17,74,793,onions
125,62,59,6,17,68,632,onions
116,66,63,6,15,61,714,onions
112,61,61,7,17,66,763,onions
110,68,56,6,23,62,747,onions
114,59,59,6,16,66,753,onions
129,51,63,6,23,69,598,onions
62,51,86,7,30,68,661,cucumbers
51,65,78,6,30,86,618,cucumbers
66,67,78,7,30,78,506,cucumbers
66,61,78,7,30,90,652,cucumbers
55,69,82,7,30,89,719,cucumbers
70,65,94,7,30,62,572,cucumbers
50,65,79,6,30,85,704,cucumbers
51,67,79,7,30,68,596,cucumbers
63,62,86,6,30,79,737,cucumbers
64,55,83,7,30,85,591,cucumbers
50,69,89,7,30,60,796,cucumbers
58,60,89,6,30,68,731,cucumbers
70,51,84,7,30,70,624,cucumbers
67,57,84,7,30,89,797,cucumbers
66,58,84,6,30,81,757,cucumbers
56,54,82,6,30,68,732,cucumbers
70,56,76,7,30,62,606,cucumbers
60,62,76,6,30,86,732,cucumbers
57,70,89,6,30,63,634,cucumbers
61,56,92,6,30,65,749,cucumbers
54,68,94,6,30,75,712,cucumbers
52,65,92,7,30,79,718,cucumbers
53,59,76,6,30,77,668,cucumbers
60,62,95,6,30,71,745,cucumbers
50,63,79,7,30,85,619,cucumbers
80,48,29,5,22,69,766,pumkins
78,60,34,6,27,55,650,pumkins
71,44,26,5,29,51,532,pumkins
81,43,31,5,23,67,682,pumkins
83,47,37,6,30,51,521,pumkins
83,53,31,5,23,56,773,pumkins
74,52,24,5,27,62,682,pumkins
79,60,25,5,23,64,665,pumkins
79,42,35,5,24,54,769,pumkins
79,43,32,6,22,66,729,pumkins
71,55,27,6,26,50,710,pumkins
77,56,27,5,21,61,590,pumkins
79,42,21,5,23,68,507,pumkins
74,57,39,5,24,54,545,pumkins
73,60,28,6,23,57,552,pumkins
83,53,33,6,24,64,588,pumkins
86,52,39,6,24,50,537,pumkins
82,41,25,6,26,50,624,pumkins
90,48,34,5,23,67,655,pumkins
84,51,37,6,22,50,619,pumkins
80,51,40,6,30,59,613,pumkins
76,56,36,5,23,59,743,pumkins
75,45,23,6,28,58,583,pumkins
86,51,27,5,22,64,686,pumkins
83,53,35,5,23,63,509,pumkins
44,11,56,5,22,67,622,garlic
43,5,53,6,24,67,770,garlic
41,14,58,6,19,63,553,garlic
41,10,58,6,20,78,640,garlic
60,7,60,5,18,65,721,garlic
43,11,53,5,20,79,694,garlic
56,11,70,5,25,79,596,garlic
42,10,58,6,24,75,565,garlic
44,13,61,5,24,64,582,garlic
50,5,67,6,21,65,642,garlic
44,9,65,5,23,61,591,garlic
51,15,56,6,16,70,743,garlic
52,9,54,6,17,69,758,garlic
57,12,61,6,24,76,758,garlic
46,5,68,6,24,69,607,garlic
58,12,61,5,17,79,777,garlic
56,14,55,5,16,71,589,garlic
42,8,62,5,21,64,589,garlic
52,7,55,5,15,69,783,garlic
53,10,64,5,69,77,619,garlic
44,11,70,5,52,67,571,garlic
40,12,69,6,69,62,569,garlic
46,10,67,5,49,61,540,garlic
55,15,57,6,78,63,562,garlic
52,10,51,5,66,72,674,garlic
67,12,28,7,33,67,970,bitter ground
64,20,12,6,28,64,936,bitter ground
58,20,22,6,33,75,904,bitter ground
63,18,12,6,31,62,899,bitter ground
58,10,18,6,32,76,816,bitter ground
63,20,15,6,30,79,836,bitter ground
69,6,18,6,34,60,866,bitter ground 
57,20,24,6,30,79,925,bitter ground
68,19,14,6,29,68,838,bitter ground
68,7,16,6,34,76,893,bitter ground 
54,24,27,6,28,68,954,bitter ground
53,9,30,7,35,80,958,bitter ground
56,15,25,6,30,62,884,bitter ground
66,15,18,7,25,72,987,bitter ground
58,6,29,7,30,75,827,bitter ground
51,24,30,6,28,66,922,bitter ground
65,16,25,7,30,68,880,bitter ground
55,24,30,6,29,66,927,bitter ground
62,24,27,6,28,65,901,bitter ground
50,10,17,7,29,75,870,bitter ground
56,25,19,6,33,80,811,bitter ground
50,23,25,6,26,64,936,bitter ground
56,25,13,6,34,66,967,bitter ground
66,16,20,6,28,76,983,bitter ground
68,6,26,6,35,61,957,bitter ground
54,21,28,6,30,72,863,ash ground
53,6,32,6,30,78,802,ash ground
51,8,28,5,27,60,933,ash ground
61,19,37,6,34,63,816,ash ground
67,23,23,6,26,66,847,ash ground
53,18,26,6,35,61,987,ash ground
60,5,31,5,30,60,816,ash ground
67,24,36,5,33,68,812,ash ground
68,14,25,5,30,79,801,ash ground
69,21,27,5,31,65,928,ash ground
70,19,30,5,29,68,906,ash ground
67,17,32,5,30,66,890,ash ground
60,16,35,5,30,80,915,ash ground
60,22,39,6,32,78,881,ash ground
60,6,22,5,26,62,926,ash ground
52,25,39,6,28,66,884,ash ground
70,23,36,5,27,78,886,ash ground
51,14,29,5,27,80,869,ash ground
65,14,28,5,33,60,923,ash ground
51,17,37,6,32,78,868,ash ground
62,14,38,5,34,78,901,ash ground
56,8,31,5,32,70,812,ash ground
56,10,23,6,33,71,915,ash ground
63,19,24,6,27,69,922,ash ground
59,21,35,6,27,67,992,ash ground
97,22,66,7,23,54,996,capsicums
93,17,62,6,30,66,971,capsicums
105,18,66,6,27,53,655,capsicums
97,15,61,6,20,40,592,capsicums
91,17,64,7,28,54,574,capsicums
99,27,63,7,25,42,658,capsicums
105,28,54,6,25,66,570,capsicums
101,17,57,6,28,59,518,capsicums
98,30,51,7,23,42,646,capsicums
101,20,53,7,27,57,504,capsicums
105,27,55,6,22,53,622,capsicums
94,17,57,7,27,56,684,capsicums
99,15,55,6,26,59,538,capsicums
105,17,52,7,30,44,644,capsicums
94,26,57,6,21,49,604,capsicums
108,14,60,7,24,43,692,capsicums
100,23,64,7,28,43,512,capsicums
108,18,62,6,27,68,517,capsicums
109,29,65,6,30,69,631,capsicums
105,11,60,7,25,48,604,capsicums
102,15,68,7,22,52,767,capsicums
104,17,55,6,24,66,687,capsicums
106,26,62,7,28,57,504,capsicums
97,29,62,7,30,45,765,capsicums
100,22,60,7,20,42,534,capsicums
90,66,68,7,18,68,607,Cabbage
102,60,77,7,13,48,637,Cabbage
101,75,61,7,11,46,737,Cabbage
96,56,75,7,17,44,699,Cabbage
110,75,79,6,18,45,649,Cabbage
95,72,78,7,11,53,625,Cabbage
91,66,75,6,16,60,760,Cabbage
101,68,73,6,14,67,772,Cabbage
108,60,72,6,15,59,679,Cabbage
93,61,79,7,13,55,640,Cabbage
99,72,71,7,18,66,663,Cabbage
92,61,74,6,18,44,695,Cabbage
101,57,75,7,15,40,711,Cabbage
101,57,68,6,12,45,728,Cabbage
91,55,74,7,21,47,769,Cabbage
102,70,76,6,19,54,639,Cabbage
90,58,80,6,16,64,721,Cabbage
109,73,78,6,11,53,664,Cabbage
105,59,63,6,22,66,759,Cabbage
100,75,64,7,17,61,686,Cabbage
98,70,71,6,11,70,681,Cabbage
107,69,62,7,10,70,682,Cabbage
99,72,78,7,18,52,799,Cabbage
100,73,72,6,14,54,667,Cabbage
97,75,71,7,12,70,799,Cabbage
90,65,43,6,19,45,648,cauliflower
83,66,59,7,20,40,782,cauliflower
88,66,57,6,22,51,790,cauliflower
88,62,47,7,13,61,731,cauliflower
73,68,46,7,21,45,749,cauliflower
81,61,41,6,12,57,763,cauliflower
73,61,43,7,12,59,633,cauliflower
88,65,45,6,16,60,789,cauliflower
83,61,40,6,16,50,695,cauliflower
72,64,49,6,17,54,728,cauliflower
79,67,51,6,13,59,755,cauliflower
90,64,55,6,19,43,671,cauliflower
71,69,47,6,15,49,724,cauliflower
73,60,51,6,21,61,755,cauliflower
79,70,50,7,19,53,798,cauliflower
86,69,46,7,11,54,743,cauliflower
89,63,40,7,22,49,636,cauliflower
84,65,53,7,10,47,646,cauliflower
75,62,57,7,19,60,740,cauliflower
76,65,44,6,16,64,624,cauliflower
82,69,44,6,19,67,782,cauliflower
76,70,47,6,10,67,701,cauliflower
80,61,52,7,17,56,790,cauliflower
88,61,42,7,12,64,696,cauliflower
74,62,45,6,17,68,732,cauliflower
